Group,Size,Range,File,Total Value,Total Weight,Time,Optimal?
12Circle,n01000,R01000,s001.kp,5368399,254777,180.0002337,NO
12Circle,n00050,R01000,s000.kp,300031,14239,0.508424,YES
12Circle,n00100,R01000,s000.kp,611418,29017,0.1374595,YES
12Circle,n00200,R01000,s000.kp,1086483,51563,178.944423,NO
12Circle,n00500,R01000,s000.kp,2681868,127278,179.7383385,NO
12Circle,n01000,R01000,s000.kp,5182856,245972,0.0063527,YES
12Circle,n00050,R10000,s000.kp,9485054,142283,4.5308185,YES
12Circle,n00100,R10000,s000.kp,19329757,289961,6.4141467,YES
12Circle,n00200,R10000,s000.kp,34344928,515200,31.5053759,YES
12Circle,n00500,R10000,s000.kp,84774716,1271685,180.0002499,NO
12Circle,n01000,R10000,s000.kp,163827248,2457533,180.0000021,NO
